Short description,Description,Caller,Assignment group
gtehdnyu belt tracker,"received from: sdbcpvtx.hzpctsla@gmail.com



above is the link to the gtehdnyu belt tracker.  the person who generated this site (nicrhty pfgyhtu) and wrote the original programdnty had it set up so that the full time oe personnel did not ever receive recertification notices and warnings.  all of a sudden this week we are all receiving those emails.  i am attaching one of the emails.

the list of oe personnel who should not receive these emails for any gtehdnyu belts:

clswzxoq higqaepr
pattghyuy karcgdwswski
dkinobsv wymgzcrh
ykolismx kbysnuim
yhroaeqj djtyroha
phksfqxe wkbovsmu
dshferby houtnzdi
mikhghytr gerusky
jafgty verghjuen

i am double checking to see if my list is complete.


these people are full time oe and permanently certified.

please let me know what else you need.",sdbcpvtx hzpctsla,GRP_16
user needs help login to the company vpn.,user needs help login to the company vpn.,nyjvwsxf npwoglzf,GRP_0
telephony_software password has expired,"my telephony_software password is getting expired today. please reset the password and let me know so that i can login.

user id - mukghyuhea
contact no -",rbozivdq gmlhrtvp,GRP_7
collaboration_platform application uninstalled,collaboration_platform application uninstalled,obanjrhg rnafleys,GRP_0
"""Scghhnelligkeit"" my internets plnvcwuq ikupsjhb (conversion to ip / router port speed adjustment w504v!?)","Received from: jclrangd.kjlnearz@gmail.com

hello woman muejkipler,

I hope they are in this case, the right contact or know who mr here plnvcwuq ikupsjhb can still help.
mr voigt is no longer palpable and mr gerberghty on vacation. I would suspect that there is a direct declaration and using respect. assessment, inter alia, which is telecom necessary.

However, I do not know how up to date the company was in the company's respect. ip conversion.
or we have to wait until mr gerberghty from the vacation is?

with friendly greetings / with child",jclrangd kjlnearz,GRP_0
HostName_1132: oracle finance_app financial management - web tier (epmsystem2) - service monitor(down),oracle finance_app financial management - web tier (epmsystem2) - service monitor(down),rkupnshb gsmzfojw,GRP_12
can u pl. check if server HostName_637 is working fine,"from: nanrfakurtyar  c 
sent: monday, 05 september, 2016 8:49 pm
to: -dba
subject: can u pl. check if server HostName_637 is working fine

can u pl. check if server HostName_637 is working fine.

also check edmsm011",bqjvxsaf aupdonjy,GRP_1
password reset : login issues,password reset : login issues,nxvbtfui hjickwyd,GRP_0
restore o: \ shame \ My Documents \ Db1.mdb,"Hi there

would you please file this ""o: \ shame \ My Documents \ Db1.mdb"" Reset

 
it all seems to stop working
Thank you

cflrqoew qbgjwaye
process planning
cflrqoew.qbgjwaye@gmail.com",cflrqoew qbgjwaye,GRP_12
restore directory schulzgth from public,"hello marfhtyio,


the folder schulzgth from the drive public (\\ HostName_717) me is gone missing, I can pick up the back? and it then drive, departments (\\ HostName_717), distribution, forms reins out, many thanks in advance.


child",vzqomdgt jwoqbuml,GRP_12
EU_tool not run since 03.00 p.m we didn't have any information about sistem shut down,EU_tool not run since 03.00 p.m we didn't have any information about sistem shut down,vmtwoadp ohjvlcmb,GRP_25
"i'm on vacation, and my vpn isn't working.  can you reset it for me?",", vpn",koiapqbg teyldpkw,GRP_50
webpage won't load,"received from: vkzwafuh.tcjnuswg@gmail.com

hi,
i have been having trouble getting some webpages to load.
1st one is on the insurance site to change password. when i try to log on to the site it says i need to update my password. when i click on the ok all i get is a blank page. see below. please advise.

[cid:image001.png@01d20755.724b5580]

[cid:image002.jpg@01d20755.724b5580]

vkzwafuh tcjnuswg - cmp
sr. application eng.
vkzwafuh.tcjnuswg@gmail.com",vkzwafuh tcjnuswg,GRP_0
"account lock release request of ""kanghytaim""","account lock release request of ""kanghytaim""",gworzkhc inypbucg,GRP_0
on keyence meter monitor replaced,on keyence meter monitor replaced,ugvkyalo ayofwjpi,GRP_42
problems with ie \ dwgliuyt ieqgdpbm,problems with ie \ dwgliuyt ieqgdpbm,qtovukbc jumqcvti,GRP_24
problems with ewew8311667 \ wrcktgbd wzrgyunp,problems with ewew8311667 \ wrcktgbd wzrgyunp,wrcktgbd wzrgyunp,GRP_24
door- opener functions can not.,"no door- opener functions at the following time tracking cards possible.
6045; 4586; 10039; 2494; 4646; 6081; 6082",tgpvrbyi ztdxwpcn,GRP_0
business_client issue,"received from: frydqbgs.ugmnzfik@gmail.com

hello all,

net weaver business client doesn't work with the message below. it's daily required function, please fix soon.


[cid:image003.jpg@01d2077b.7c080d40]",frydqbgs ugmnzfik,GRP_0
balance carry forward for ap and ar report,"received from: ihfkwzjd.erbxoyqk@gmail.com

dear it team

i have run report as below i found that balance carry forward is not shown on the report both ap and ar report. please advise.


[cid:image002.jpg@01d2079b.c1165fc0]


[cid:image004.jpg@01d2079b.c1165fc0]


[cid:image006.jpg@01d2079b.c1165fc0]

[cid:image012.jpg@01d2079b.c1165fc0]

best",ihfkwzjd erbxoyqk,GRP_10
re: finished: start of s&op process -  my account is blocked - password issue,"it support 
could you please unlocked my account on supply_chain_software
best",qaohugxw kdeqjncw,GRP_0
awb not printed out,"can you please have a look to this, there seems to be no output in c:\shipping. to see this i had stopped ecs_print. it is dhl from apac to japan but other countries also affected",rxoynvgi ntgdsehl,GRP_18
job Job_1953 was running longer than 30 minutes kirtyled and rerun,"received from: monitoring_tool@company.com

job Job_1953 failed in job_scheduler at: 09/05/2016 05:40:00",bpctwhsn kzqsbmtp,GRP_6
keyboard defective \ wcupoaty fqnzwphj,keyboard defective \ wcupoaty fqnzwphj,wcupoaty fqnzwphj,GRP_24
erp locked,"received from: xosycftu.olhpmsdw@gmail.com

hello

please unlock my password for erp.
i need to change my password soon.

user id: songhyody",xosycftu olhpmsdw,GRP_0
job Job_3181 failed in job_scheduler at: 09/05/2016 05:00:00,"received from: monitoring_tool@company.com

job Job_3181 failed in job_scheduler at: 09/05/2016 05:00:00",bpctwhsn kzqsbmtp,GRP_8
"Not tax computer networking, so He Zhengping off.","Not tax computer networking, so He Zhengping off.",hlrmufzx qcdzierm,GRP_30
abap runtime error with transaction zload,"system (SID_34, SID_37, SID_39, SID_38, hrp, other ?): SID_34

enter user id of user having the issue: all user in plant_119 and plant_27

transaction code(s) the user needs or was working with: zload

describe the issue: abap runtime error

if you are getting a ""not authorized"" message, recreate the condition then do   /nsu53   and attach result to the ticketing_tool ticket.

provide access the same as this other user:",oebcqfli zvbxasky,GRP_0
reset passwords for qgilmtyc gmscovxa using password_management_tool password reset.,the,qgilmtyc gmscovxa,GRP_17
archiving_tool scanner not working,"archiving_tool scanner not working.

please upgrade open text imaging scan to 10.2.0
opentext imaging enterprise scan 10..2.0",giumxwvh lfvwjtin,GRP_0
reset passwords for rlhuwmve krcfhoxj using password_management_tool password reset.,please reseat SID_1. i need to uacyltoe hxgaycze something.,rlhuwmve krcfhoxj,GRP_17
computer can't started,computer can't started,hctajofe qgrkcxyt,GRP_31
defective fiber optic line \ box defective \ vaigycet jtgmpdcr,defective fiber optic line \ box defective \ vaigycet jtgmpdcr,vaigycet jtgmpdcr,GRP_24
ie browser can not open.,ie browser can not open.,dkxstwfq eljczgbn,GRP_31
"System failure, boot blue screen.","System failure, boot blue screen.",lhkqbmna ekhtivsd,GRP_31
erp SID_34 account locked.,erp SID_34 account locked.,qgopxabz xnuieqjr,GRP_0
guestcompany access for wifi,"received from: htnvbwxs.gwfrzuex@gmail.com

good morning.

i have our coivmhwj opwckbrv here, and would like for them to access to guestcompany wifi.

there will be 5 of them.

they will be here for 3 weeks.

do i need to create separate accesses for them or can they share 1 login access?

please advise.",htnvbwxs gwfrzuex,GRP_0
account locked.,account locked.,zrcfyiea gynbmopr,GRP_0
"after changing to new group, several workflow items from old group are (still) visible in new groups workflow, too /-154","phone: 
changed from milling team  csd 5111156895 to holemaking team csd 515611894, but still several workflow items from old group are visible in new groups workflow, too. erp substitution was ended by old team, as far as i was informed.",nobwzdvh yqjugexl,GRP_13
job Job_1315 failed in job_scheduler at: 09/05/2016 02:12:00,"received from: monitoring_tool@company.com

job Job_1315 failed in job_scheduler at: 09/05/2016 02:12:00",bpctwhsn kzqsbmtp,GRP_9
reset passwords for bxeagsmt zrwdgsco using password_management_tool password reset.,the,bxeagsmt zrwdgsco,GRP_17
"[erp] query ""zload"" for production scheduling is generating abap error message","got forwarded an email regarding erp query zload generating error message. 

see attachment for further details.

i'm not sure how big of an impact this has so currently opening with sev3 - feel free to raise the priority in case this is a known important query.

best",xvwchsdg pladjmxt,GRP_20
vip2 -enable to save to local pc in citrix with erp gui. assign to whomever supports citrix.,"vendor is creating reports for the usa carve-out and is unable to save reports to the local pc. she is using the erp gui.   a solution must be provided immediately if not sooner as this will delay the project.
description form the vendor (vvgtybyrn):

once i am running reports, where can i save them? i need to save them as unconverted text, & then i need to open each in excel & make a few formatheywting changes before i save it & send to the team leads. i ran a uacyltoe hxgaycze using se38 for the programdnty attached to the transaction, & i cannot save to my own machine. i did try a thumb drive, but that was also unsuccessful. is there somewhere on the network where i can save them & then someone can send them to me so i can format them on my own machine & send them out? or if you have another idea on how we can accomplish it, that would be great.",sbgvrncj idfhtoqv,GRP_12
account locked out,"received from: vhlepcta.lqbgcxpt@gmail.com

hello team,
abdhtyu account is locked out, could you please check?",vhlepcta lqbgcxpt,GRP_0
"power outage: usa tn, tm-usa-att-rtr circuit went  down at 03:04 am et on 09/05. global_telecom_1 ticket# 690500063","usa tn, tm-usa-att-rtr circuit went  down at 03:04 am et on 09/05. servers also went down but we see comcast circuit is up.

usa tn, tm-usa-att-rtr - interface 'gigabitet​hernet0/1 · "" connection to nexus5k001 ""' has state: down since 11:52 pm et on 09/04.",mnlazfsr mtqrkhnx,GRP_8
access to network folder,"received from: sxnzacoj.lwvqgfby@gmail.com

please provide read and write access to mr. frseoupk feluybrn and karghytuthik  for following network folder

\\HostName_95\grinding",sxnzacoj lwvqgfby,GRP_12
"not able to log on to hub from remote location, urgent please call.",received from: slfxjznk.hmspexor@gmail.com,slfxjznk hmspexor,GRP_0
job hr_payroll_na_u2 failed in job_scheduler at: 09/04/2016 23:00:00,"received from: monitoring_tool@company.com

job hr_payroll_na_u2 failed in job_scheduler at: 09/04/2016 23:00:00",bpctwhsn kzqsbmtp,GRP_10
